FlowID,Source.IP,Source.Port,Destination.IP,Destination.Port,Protocol,Timestamp,FlowDuration,TotalFwdPackets,TotalBackwardPackets,TotalLengthofFwdPackets,TotalLengthofBwdPackets,FwdPacketLengthMax,FwdPacketLengthMin,FwdPacketLengthMean,FwdPacketLengthStd,BwdPacketLengthMax,BwdPacketLengthMin,BwdPacketLengthMean,BwdPacketLengthStd,FlowBytess,FlowPacketss,FlowIATMean,FlowIATStd,FlowIATMax,FlowIATMin,FwdIATTotal,FwdIATMean,FwdIATStd,FwdIATMax,FwdIATMin,BwdIATTotal,BwdIATMean,BwdIATStd,BwdIATMax,BwdIATMin,FwdPSHFlags,BwdPSHFlags,FwdURGFlags,BwdURGFlags,FwdHeaderLength,BwdHeaderLength,FwdPacketss,BwdPacketss,MinPacketLength,MaxPacketLength,PacketLengthMean,PacketLengthStd,PacketLengthVariance,FINFlagCount,SYNFlagCount,RSTFlagCount,PSHFlagCount,ACKFlagCount,URGFlagCount,CWEFlagCount,ECEFlagCount,DownUpRatio,AveragePacketSize,AvgFwdSegmentSize,AvgBwdSegmentSize,FwdHeaderLength1,FwdAvgBytesBulk,FwdAvgPacketsBulk,FwdAvgBulkRate,BwdAvgBytesBulk,BwdAvgPacketsBulk,BwdAvgBulkRate,SubflowFwdPackets,SubflowFwdBytes,SubflowBwdPackets,SubflowBwdBytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,ActiveMean,ActiveStd,ActiveMax,ActiveMin,IdleMean,IdleStd,IdleMax,IdleMin,Label,L7Protocol,ProtocolName
172.19.1.46-10.200.7.7-52422-3128-6,172.19.1.46,52422,10.200.7.7,3128,6,26/04/201711:11:17,45523,22,55,132,110414,6,6,6,0,4380,1187,2007.52727272727,768.481688606766,2428354.89752433,1691.45267227555,598.986842105263,816.061345625782,3880,1,45523,2167.76190476191,1319.3845119889,5988,698,41178,762.555555555556,1230.34821987044,5133,1,0,0,0,0,440,1100,483.272192078729,1208.18048019682,6,4380,1417.33333333333,1121.57919356855,1257939.88744589,0,0,0,0,1,0,0,0,2,1435.74025974026,6,2007.52727272727,440,0,0,0,0,0,0,22,132,55,110414,256,490,21,20,0,0,0,0,0,0,0,0,BENIGN,131,HTTP_PROXY
172.19.1.46-10.200.7.7-52422-3128-6,10.200.7.7,3128,172.19.1.46,52422,6,26/04/201711:11:17,1,2,0,12,0,6,6,6,0,0,0,0,0,1.2e+07,2e+06,1,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,40,0,2e+06,0,6,6,6,0,0,0,0,0,0,1,1,0,0,0,9,6,0,40,0,0,0,0,0,0,2,12,0,0,490,-1,1,20,0,0,0,0,0,0,0,0,BENIGN,131,HTTP_PROXY
10.200.7.217-50.31.185.39-38848-80-6,50.31.185.39,80,10.200.7.217,38848,6,26/04/201711:11:17,1,3,0,674,0,337,0,224.666666666667,194.567040716904,0,0,0,0,6.74e+08,3e+06,0.5,0.707106781186548,1,0,1,0.5,0.707106781186548,1,0,0,0,0,0,0,1,0,0,0,96,0,3e+06,0,0,337,252.75,168.5,28392.25,0,1,0,0,1,0,0,0,0,337,224.666666666667,0,96,0,0,0,0,0,0,3,674,0,0,888,-1,1,32,0,0,0,0,0,0,0,0,BENIGN,7,HTTP
10.200.7.217-50.31.185.39-38848-80-6,50.31.185.39,80,10.200.7.217,38848,6,26/04/201711:11:17,217,1,3,0,0,0,0,0,0,0,0,0,0,0,18433.1797235023,72.3333333333333,62.6604606856136,110,0,0,0,0,0,0,107,53.5,75.6604255869606,107,0,0,0,0,0,32,96,4608.29493087558,13824.8847926267,0,0,0,0,0,0,0,0,0,1,1,0,0,3,0,0,0,32,0,0,0,0,0,0,1,0,3,0,888,490,0,32,0,0,0,0,0,0,0,0,BENIGN,7,HTTP
192.168.72.43-10.200.7.7-55961-3128-6,192.168.72.43,55961,10.200.7.7,3128,6,26/04/201711:11:17,78068,5,0,1076,0,529,6,215.2,286.458897575202,0,0,0,0,13782.855971717,64.0467284931086,19517,25758.5023503567,54313,0,78068,19517,25758.5023503567,54313,0,0,0,0,0,0,1,0,0,0,100,0,64.0467284931086,0,6,529,267.5,286.458897575202,82058.7,0,1,0,0,1,0,0,0,0,321,215.2,0,100,0,0,0,0,0,0,5,1076,0,0,253,-1,4,20,0,0,0,0,0,0,0,0,BENIGN,131,HTTP_PROXY
172.19.1.56-10.200.7.6-50004-3128-6,10.200.7.6,3128,172.19.1.56,50004,6,26/04/201711:11:17,105069,136,0,313554,0,5840,6,2305.54411764706,1220.82240567061,0,0,0,0,2984267.48136939,1294.38749773958,778.288888888889,4540.42436682363,51842,0,105069,778.288888888889,4540.42436682363,51842,0,0,0,0,0,0,0,0,0,0,2720,0,1294.38749773958,0,6,5840,2299.37226277372,1218.46913962767,1484667.04422499,0,0,0,0,1,0,0,0,0,2316.27941176471,2305.54411764706,0,2720,0,0,0,0,0,0,136,313554,0,0,254,-1,135,20,0,0,0,0,0,0,0,0,BENIGN,131,HTTP_PROXY
192.168.72.43-10.200.7.7-55963-3128-6,192.168.72.43,55963,10.200.7.7,3128,6,26/04/201711:11:17,104443,5,0,1076,0,529,6,215.2,286.458897575202,0,0,0,0,10302.2701377785,47.8730024989707,26110.75,31559.2061515601,63644,0,104443,26110.75,31559.2061515601,63644,0,0,0,0,0,0,1,0,0,0,100,0,47.8730024989707,0,6,529,267.5,286.458897575202,82058.7,0,1,0,0,1,0,0,0,0,321,215.2,0,100,0,0,0,0,0,0,5,1076,0,0,253,-1,4,20,0,0,0,0,0,0,0,0,BENIGN,131,HTTP_PROXY
192.168.10.47-10.200.7.6-51848-3128-6,192.168.10.47,51848,10.200.7.6,3128,6,26/04/201711:11:17,11002,3,12,232,3664,226,0,77.3333333333333,128.784056984292,3628,0,305.333333333333,1046.37289836092,354117.433193965,1363.38847482276,785.857142857143,2099.11841778117,7865,0,10012,5006,4043.23657482468,7865,2147,10788,980.727272727273,2880.86490800624,9625,0,0,0,0,0,72,300,272.677694964552,1090.71077985821,0,3628,243.5,904.250555248194,817669.066666667,0,0,0,1,0,0,0,0,4,259.733333333333,77.3333333333333,305.333333333333,72,0,0,0,0,0,0,3,232,12,3664,8192,245,2,20,0,0,0,0,0,0,0,0,BENIGN,130,HTTP_CONNECT
10.200.7.217-68.67.178.197-57300-443-6,68.67.178.197,443,10.200.7.217,57300,6,26/04/201711:11:17,108503,10,6,6904,1302,1448,0,690.4,660.894209049796,1302,0,217,531.53927418395,75629.2452743242,147.461360515377,7233.53333333333,22428.903794201,87416,0,98566,10951.7777777778,32194.056119794,96790,0,99128,19825.6,39101.3113373452,89362,0,1,0,0,0,320,216,92.1633503221109,55.2980101932665,0,1448,497.882352941176,624.762142974522,390327.735294118,0,1,0,0,1,0,0,0,0,529,690.4,217,320,0,0,0,0,0,0,10,6904,6,1302,60,1000,7,32,0,0,0,0,0,0,0,0,BENIGN,91,SSL
192.168.72.43-10.200.7.7-55977-3128-6,192.168.72.43,55977,10.200.7.7,3128,6,26/04/201711:11:17,118415,7,0,2210,0,1096,0,315.714285714286,533.043373559074,0,0,0,0,18663.1761178905,59.1141325001056,19735.8333333333,46768.3245259723,115185,1,118415,19735.8333333333,46768.3245259723,115185,1,0,0,0,0,0,0,0,0,0,164,0,59.1141325001056,0,0,1096,276.25,505.968307872567,256003.928571429,0,0,0,1,0,0,0,0,0,315.714285714286,315.714285714286,0,164,0,0,0,0,0,0,7,2210,0,0,8192,-1,5,20,0,0,0,0,0,0,0,0,BENIGN,126,GOOGLE
